PS D:\code\Silent-Face-Anti-Spoofing-master> py -3.12 .\update.py
>>
--- Final Debug Run (Limit: 100) ---
Thresholds: Real_Score > 0.7 | Fake_Ratio > 0.25

IDX   | VIDEO      | GT    | PRED  | RESULT   | INFO (Ratio | AvgReal)
---------------------------------------------------------------------------
1     | 1.mp4      | FAKE  | FAKE  | CORRECT  | R:0.43 | S:0.70 
2     | 2.mp4      | REAL  | REAL  | CORRECT  | R:0.00 | S:0.98 
3     | 3.mp4      | REAL  | REAL  | CORRECT  | R:0.00 | S:0.98 
4     | 5.mp4      | FAKE  | REAL  | WRONG    | R:0.00 | S:0.99 <<
5     | 7.mp4      | REAL  | FAKE  | WRONG    | R:1.00 | S:0.03 <<
6     | 8.mp4      | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00 
7     | 10.mp4     | FAKE  | FAKE  | CORRECT  | R:0.81 | S:0.52 
8     | 11.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:0.97 
9     | 12.mp4     | FAKE  | REAL  | WRONG    | R:0.24 | S:0.81 <<
10    | 13.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:0.99 
11    | 14.mp4     | FAKE  | FAKE  | CORRECT  | R:0.80 | S:0.50 
12    | 18.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00 
13    | 19.mp4     | FAKE  | FAKE  | CORRECT  | R:1.00 | S:0.03 
14    | 20.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00 
15    | 22.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00 
16    | 24.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00 
17    | 25.mp4     | FAKE  | FAKE  | CORRECT  | R:0.99 | S:0.48 
20    | 29.mp4     | FAKE  | REAL  | WRONG    | R:0.00 | S:0.99 <<
21    | 30.mp4     | FAKE  | FAKE  | CORRECT  | R:0.44 | S:0.57
22    | 31.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:1.00
23    | 33.mp4     | FAKE  | FAKE  | CORRECT  | R:1.00 | S:0.45
24    | 35.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:0.99
25    | 36.mp4     | FAKE  | REAL  | WRONG    | R:0.00 | S:0.94 <<
26    | 37.mp4     | REAL  | REAL  | CORRECT  | R:0.00 | S:0.99
